PARENT1,MSTATUS,SEX,EDUCATION,JOB,CAR_USE,CAR_TYPE,RED_CAR,REVOKED,URBANICITY,TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,TRAVTIME,TIF,CLM_FREQ,MVR_PTS,CAR_AGE,INCOME,HOME_VAL,BLUEBOOK,OLDCLAIM
No,z_No,M,PhD,Professional,Private,Minivan,yes,No,Highly Urban/ Urban,0,0,60.0,0,11.0,14,11,2,3,18.0,67349.0,0.0,14230.0,4461.0
No,z_No,M,z_High School,z_Blue Collar,Commercial,Minivan,yes,No,Highly Urban/ Urban,0,0,43.0,0,11.0,22,1,0,0,1.0,91449.0,257252.0,14940.0,0.0
No,Yes,z_F,z_High School,Clerical,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,35.0,1,10.0,5,4,2,3,10.0,16039.0,124191.0,4010.0,38690.0
Yes,z_No,z_F,Bachelors,z_Blue Collar,Commercial,Sports Car,no,No,Highly Urban/ Urban,1,0,34.0,1,12.0,46,1,0,0,7.0,125301.0,0.0,17430.0,0.0
No,z_No,z_F,Bachelors,Clerical,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,34.0,0,10.0,34,1,0,0,1.0,62978.0,0.0,11200.0,0.0
No,z_No,M,Bachelors,Professional,Commercial,Van,no,No,z_Highly Rural/ Rural,0,0,50.0,0,7.0,48,7,0,1,17.0,106952.0,0.0,18510.0,0.0
No,z_No,z_F,Masters,Lawyer,Private,Sports Car,no,No,Highly Urban/ Urban,1,0,53.0,0,14.0,15,1,0,0,11.0,77100.0,0.0,18300.0,0.0
No,Yes,z_F,Masters,Professional,Private,Minivan,no,No,z_Highly Rural/ Rural,0,0,43.0,0,5.0,36,7,0,0,1.0,52642.0,209970.0,22420.0,0.0
No,Yes,M,Bachelors,Manager,Commercial,Van,yes,Yes,Highly Urban/ Urban,0,0,55.0,0,11.0,25,7,2,3,9.0,59162.0,180232.0,17600.0,5028.0
No,Yes,z_F,<High School,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,45.0,0,0.0,48,1,0,3,5.0,0.0,106859.0,6000.0,0.0
Yes,z_No,z_F,Bachelors,Clerical,Private,z_SUV,no,No,z_Highly Rural/ Rural,0,0,39.0,3,12.0,43,6,0,0,13.0,51884.0,180951.0,10590.0,0.0
No,Yes,M,Masters,Lawyer,Private,Minivan,no,No,Highly Urban/ Urban,0,0,42.0,0,11.0,42,6,0,0,16.0,59945.0,192207.0,14190.0,0.0
No,Yes,z_F,Masters,Lawyer,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,34.0,3,13.0,27,7,0,0,20.0,34019.0,91875.0,8300.0,0.0
No,Yes,z_F,<High School,Clerical,Private,Minivan,no,No,Highly Urban/ Urban,0,0,31.0,2,12.0,48,4,0,0,7.0,18903.0,93797.0,17330.0,0.0
No,Yes,z_F,z_High School,z_Blue Collar,Commercial,z_SUV,no,No,Highly Urban/ Urban,1,0,28.0,1,13.0,29,6,2,0,1.0,44077.0,170598.0,8710.0,8935.0
No,Yes,z_F,Masters,Lawyer,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,48.0,0,14.0,36,6,1,5,14.0,96274.0,282904.0,11130.0,8250.0
No,z_No,z_F,<High School,z_Blue Collar,Private,Minivan,no,No,Highly Urban/ Urban,0,0,47.0,0,11.0,29,10,0,1,5.0,46281.0,0.0,19700.0,0.0
No,Yes,z_F,z_High School,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,0,2,44.0,2,0.0,8,6,3,0,11.0,0.0,82344.0,5900.0,3338.0
No,Yes,z_F,Bachelors,Professional,Private,z_SUV,no,No,z_Highly Rural/ Rural,0,0,33.0,1,13.0,27,9,0,2,15.0,79606.0,225962.0,16830.0,0.0
No,Yes,z_F,z_High School,Clerical,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,32.0,1,9.0,26,1,0,0,1.0,31275.0,118160.0,10030.0,0.0
No,Yes,M,Bachelors,Manager,Private,Minivan,no,No,Highly Urban/ Urban,0,1,44.0,2,17.0,16,17,0,0,12.0,45488.0,219378.0,22090.0,0.0
No,z_No,z_F,Bachelors,Clerical,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,35.0,0,8.0,26,6,0,3,12.0,72193.0,0.0,12220.0,0.0
No,Yes,M,Bachelors,Clerical,Private,Minivan,no,No,Highly Urban/ Urban,0,0,49.0,0,5.0,30,1,0,1,1.0,49244.0,163444.0,15880.0,0.0
No,Yes,z_F,Bachelors,Professional,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,52.0,0,8.0,37,4,0,1,10.0,51278.0,230340.0,1500.0,0.0
No,Yes,M,Bachelors,z_Blue Collar,Commercial,Van,yes,No,Highly Urban/ Urban,0,0,39.0,0,10.0,38,4,0,0,13.0,35081.0,202839.0,16640.0,0.0
No,Yes,z_F,PhD,Home Maker,Private,Minivan,no,No,z_Highly Rural/ Rural,0,0,56.0,0,0.0,65,1,0,0,12.0,0.0,63827.0,13220.0,0.0
No,z_No,z_F,PhD,Doctor,Private,Minivan,no,No,Highly Urban/ Urban,0,0,49.0,0,12.0,18,1,0,0,14.0,115044.0,311980.0,17900.0,0.0
No,Yes,z_F,z_High School,Clerical,Private,z_SUV,no,No,z_Highly Rural/ Rural,0,0,38.0,0,11.0,47,1,0,2,9.0,37754.0,138823.0,12080.0,0.0
No,Yes,z_F,PhD,Doctor,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,63.0,0,15.0,10,1,0,0,11.0,121398.0,343410.0,16270.0,0.0
No,z_No,z_F,z_High School,Student,Commercial,z_SUV,no,No,z_Highly Rural/ Rural,0,0,52.0,0,0.0,48,1,0,1,6.0,0.0,87925.0,9280.0,0.0
No,Yes,M,Bachelors,Student,Commercial,Pickup,no,No,Highly Urban/ Urban,0,0,35.0,0,7.0,22,1,0,0,7.0,14508.0,0.0,6450.0,0.0
No,Yes,z_F,Bachelors,Manager,Private,Sports Car,no,No,Highly Urban/ Urban,0,0,43.0,0,13.0,40,1,0,0,8.0,75338.0,270555.0,23080.0,0.0
No,z_No,z_F,z_High School,Clerical,Private,Minivan,no,No,z_Highly Rural/ Rural,0,0,41.0,0,10.0,44,4,0,0,1.0,32774.0,0.0,20120.0,0.0
No,Yes,M,Bachelors,Clerical,Commercial,Panel Truck,yes,No,Highly Urban/ Urban,0,0,40.0,0,11.0,5,4,0,1,5.0,57474.0,186418.0,29270.0,0.0
No,Yes,M,Bachelors,Student,Commercial,Minivan,yes,No,Highly Urban/ Urban,0,0,31.0,1,12.0,62,6,0,2,5.0,26520.0,154493.0,4600.0,0.0
No,Yes,z_F,z_High School,Clerical,Private,z_SUV,no,No,z_Highly Rural/ Rural,0,0,39.0,3,7.0,33,6,0,0,5.0,34046.0,183383.0,4040.0,0.0
No,Yes,M,<High School,Clerical,Private,Minivan,yes,No,Highly Urban/ Urban,0,0,33.0,3,14.0,40,18,0,3,1.0,32364.0,152894.0,12270.0,0.0
No,z_No,M,<High School,z_Blue Collar,Commercial,Pickup,yes,Yes,Highly Urban/ Urban,1,0,40.0,0,11.0,20,4,1,13,6.0,16989.0,0.0,12230.0,26104.0
No,Yes,z_F,z_High School,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,44.0,2,15.0,37,1,1,1,1.0,16352.0,134164.0,10520.0,7838.0
No,Yes,M,Bachelors,Manager,Private,Minivan,yes,No,Highly Urban/ Urban,0,0,56.0,0,16.0,30,13,0,0,6.0,44760.0,164852.0,21770.0,0.0
No,Yes,z_F,Masters,Lawyer,Private,Van,no,Yes,Highly Urban/ Urban,1,1,45.0,1,14.0,50,6,2,0,13.0,63952.0,196368.0,32340.0,27877.0
No,Yes,z_F,z_High School,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,33.0,4,12.0,46,13,3,0,1.0,20822.0,76022.0,6880.0,7896.0
No,Yes,z_F,z_High School,Professional,Private,z_SUV,no,Yes,Highly Urban/ Urban,0,0,32.0,3,14.0,20,4,0,0,8.0,54968.0,146784.0,10040.0,0.0
No,z_No,z_F,<High School,Clerical,Private,Sports Car,no,Yes,Highly Urban/ Urban,1,0,34.0,0,8.0,13,4,3,2,10.0,14194.0,87034.0,2920.0,24767.0
No,Yes,z_F,<High School,Home Maker,Private,Pickup,no,No,Highly Urban/ Urban,0,1,38.0,4,12.0,35,10,0,2,1.0,2149.0,72889.0,22690.0,0.0
Yes,z_No,z_F,Masters,Manager,Private,Sports Car,no,No,Highly Urban/ Urban,1,2,43.0,3,11.0,29,1,3,0,15.0,137103.0,0.0,19510.0,8890.0
No,z_No,z_F,Bachelors,Manager,Private,Minivan,no,Yes,Highly Urban/ Urban,0,0,46.0,0,10.0,13,3,0,2,11.0,79538.0,0.0,14050.0,0.0
No,Yes,z_F,PhD,Lawyer,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,45.0,1,11.0,28,1,3,6,20.0,185836.0,509115.0,10250.0,4307.0
No,z_No,z_F,PhD,Doctor,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,63.0,0,9.0,11,1,0,0,18.0,74426.0,0.0,27600.0,0.0
No,Yes,z_F,Bachelors,Professional,Private,Minivan,no,No,Highly Urban/ Urban,0,0,44.0,0,9.0,9,6,0,0,1.0,74722.0,231034.0,23640.0,0.0
Yes,z_No,M,Bachelors,Professional,Private,Minivan,yes,No,Highly Urban/ Urban,1,1,45.0,2,11.0,25,1,0,2,11.0,102393.0,0.0,1500.0,0.0
No,Yes,M,z_High School,Clerical,Commercial,Pickup,no,No,Highly Urban/ Urban,1,0,48.0,0,12.0,14,13,1,4,1.0,31773.0,165090.0,9640.0,1212.0
No,Yes,z_F,Masters,Professional,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,49.0,0,0.0,42,10,1,6,14.0,0.0,159389.0,6400.0,9115.0
Yes,z_No,z_F,z_High School,z_Blue Collar,Commercial,Sports Car,no,No,z_Highly Rural/ Rural,0,0,44.0,2,15.0,35,10,0,0,1.0,139330.0,316900.0,22050.0,0.0
